tanggal,pasar,komoditas,harga
2026-08-13,Pasar Ciwidey,SKM BENDERA,13000.0
2026-08-13,Pasar Ciwidey,SKM CAP ENAK,12000.0
2026-08-13,Pasar Ciwidey,SKM INDOMILK,12500.0
2026-08-13,Pasar Ciwidey,SUSU BALITA (SGM),48000.0
2026-08-13,Pasar Ciwidey,SUSU BUBUK DANCOW VANILA,
2026-08-13,Pasar Ciwidey,TAHU,12000.0
2026-08-13,Pasar Ciwidey,TELUR AYAM BROILER,24500.0
2026-08-13,Pasar Ciwidey,TELUR AYAM KAMPUNG,3500.0
2026-08-13,Pasar Ciwidey,TEMPE,13000.0
2026-08-13,Pasar Ciwidey,TERIGU CAKRA KEMBAR,14000.0
2026-08-13,Pasar Ciwidey,TERIGU CURAH,10000.0
2026-08-13,Pasar Ciwidey,TERIGU KUNCI BIRU,
2026-08-13,Pasar Ciwidey,TERIGU SEGITIGA BIRU,13000.0
2026-08-13,Pasar Ciwidey,TERI KERITING,85000.0
2026-08-13,Pasar Ciwidey,TERI MEDAN,160000.0
2026-08-13,Pasar Ciwidey,TIMUN,12000.0
2026-08-13,Pasar Ciwidey,TOMAT HIJAU,6000.0
2026-08-13,Pasar Ciwidey,UBI JALAR PUTIH,9000.0
2026-08-13,Pasar Ciwidey,UDANG,95000.0
2026-08-13,Pasar Baleendah,BAWANG BOMBAY,35000.0
2026-08-13,Pasar Baleendah,BAWANG DAUN,15000.0
2026-08-13,Pasar Baleendah,BAWANG MERAH,32000.0
2026-08-13,Pasar Baleendah,BAWANG MERAH BATU,28000.0
2026-08-13,Pasar Baleendah,BAWANG PUTIH BIASA,35000.0
2026-08-13,Pasar Baleendah,BAWANG PUTIH KATING,
2026-08-13,Pasar Baleendah,BAWANG SUMENEP,40000.0
2026-08-13,Pasar Baleendah,BAYAM,2500.0
2026-08-13,Pasar Baleendah,BERAS IR. 64,15000.0
2026-08-13,Pasar Baleendah,BERAS MEDIUM,14000.0
2026-08-13,Pasar Baleendah,BERAS PREMIUM,16000.0
2026-08-13,Pasar Baleendah,CABE HIJAU BIASA,32000.0
2026-08-13,Pasar Baleendah,CABE MERAH KERITING,40000.0
2026-08-13,Pasar Baleendah,CABE MERAH TANJUNG,100000.0
2026-08-13,Pasar Baleendah,CABE MERAH TW,
2026-08-13,Pasar Baleendah,CABE RAWIT HIJAU,45000.0
2026-08-13,Pasar Baleendah,CABE RAWIT MERAH,45000.0
2026-08-13,Pasar Baleendah,DAGING AYAM BROILER,41000.0
2026-08-13,Pasar Baleendah,DAGING AYAM KAMPUNG,70000.0
2026-08-13,Pasar Baleendah,DAGING SAPI IMPOR BEKU,120000.0
2026-08-13,Pasar Baleendah,DAGING SAPI LOKAL HAS DALAM,150000.0
2026-08-13,Pasar Baleendah,DAGING SAPI LOKAL HAS LUAR,140000.0
