tanggal,pasar,curah_hujan_mm,suhu_avg,suhu_max,suhu_min
2025-05-26,Pasar Margahayu,11.2,22.8,25.4,21.1
2025-05-27,Pasar Margahayu,0.2,24.4,29.6,19.8
2025-05-28,Pasar Margahayu,0.5,24.3,29.4,19.5
2025-05-29,Pasar Margahayu,3.5,23.4,29.6,18.0
2025-05-30,Pasar Margahayu,0.0,23.7,29.1,18.0
2025-05-31,Pasar Margahayu,1.4,23.3,29.6,17.3
2025-06-01,Pasar Margahayu,0.1,22.5,27.0,18.5
2025-06-02,Pasar Margahayu,0.0,23.5,28.8,18.5
2025-06-03,Pasar Margahayu,2.4,22.6,27.7,17.4
2025-06-04,Pasar Margahayu,0.2,23.1,28.3,17.6
2025-06-05,Pasar Margahayu,0.0,23.4,29.2,17.8
2025-06-06,Pasar Margahayu,7.0,23.3,29.1,19.3
2025-06-07,Pasar Margahayu,4.7,23.6,28.0,20.9
2025-06-08,Pasar Margahayu,0.0,22.8,28.6,16.4
2025-06-09,Pasar Margahayu,0.4,22.6,29.0,16.8
2025-06-10,Pasar Margahayu,3.0,22.4,27.4,17.5
2025-06-11,Pasar Margahayu,0.3,22.9,26.8,20.2
2025-06-12,Pasar Margahayu,0.6,23.6,29.2,18.3
2025-06-13,Pasar Margahayu,0.0,24.2,29.7,18.7
2025-06-14,Pasar Margahayu,1.0,23.4,29.3,18.2
2025-06-15,Pasar Margahayu,5.0,23.5,29.2,19.9
2025-06-16,Pasar Margahayu,0.0,23.5,29.3,18.2
2025-06-17,Pasar Margahayu,2.7,22.9,28.1,18.6
2025-06-18,Pasar Margahayu,5.3,22.6,25.7,19.5
2025-06-19,Pasar Margahayu,0.6,22.8,26.0,20.8
2025-06-20,Pasar Margahayu,0.9,22.7,27.3,19.1
2025-06-21,Pasar Margahayu,1.9,22.9,27.6,19.9
2025-06-22,Pasar Margahayu,0.6,23.5,29.1,19.2
2025-06-23,Pasar Margahayu,1.0,22.9,28.5,18.4
2025-06-24,Pasar Margahayu,3.5,22.0,28.4,17.2
2025-06-25,Pasar Margahayu,0.1,22.0,27.9,17.4
2025-06-26,Pasar Margahayu,0.0,22.7,29.0,17.1
2025-06-27,Pasar Margahayu,0.0,23.1,29.6,16.9
2025-06-28,Pasar Margahayu,13.4,21.7,26.5,18.1
2025-06-29,Pasar Margahayu,4.8,21.4,26.5,16.9
2025-06-30,Pasar Margahayu,0.8,23.0,28.6,18.3
2025-07-01,Pasar Margahayu,6.8,22.6,26.7,20.1
2025-07-02,Pasar Margahayu,2.2,22.2,28.4,17.3
2025-07-03,Pasar Margahayu,0.3,22.9,27.4,18.6
2025-07-04,Pasar Margahayu,0.1,22.7,27.1,18.7
2025-07-05,Pasar Margahayu,4.3,22.5,27.5,18.9
2025-07-06,Pasar Margahayu,4.3,22.7,28.1,19.4
2025-07-07,Pasar Margahayu,2.0,22.4,27.1,18.3
2025-07-08,Pasar Margahayu,0.5,23.4,29.4,19.2
2025-07-09,Pasar Margahayu,0.4,22.7,27.4,18.9
2025-07-10,Pasar Margahayu,0.1,21.6,27.4,16.0
2025-07-11,Pasar Margahayu,0.8,21.7,27.3,16.4
2025-07-12,Pasar Margahayu,0.0,22.2,28.6,16.4
2025-07-13,Pasar Margahayu,0.2,22.9,28.9,16.9
2025-07-14,Pasar Margahayu,16.4,23.0,28.6,19.7
2025-07-15,Pasar Margahayu,0.0,22.7,28.2,17.9
2025-07-16,Pasar Margahayu,1.9,22.7,28.9,17.6
2025-07-17,Pasar Margahayu,0.0,23.1,29.2,17.7
2025-07-18,Pasar Margahayu,0.0,22.3,28.1,16.6
2025-07-19,Pasar Margahayu,0.1,22.8,28.1,15.8
2025-07-20,Pasar Margahayu,0.0,22.3,27.9,15.3
2025-07-21,Pasar Margahayu,0.0,23.2,29.2,19.4
2025-07-22,Pasar Margahayu,0.0,21.7,28.8,15.1
2025-07-23,Pasar Margahayu,0.0,22.2,29.2,15.6
2025-07-24,Pasar Margahayu,0.0,22.7,29.8,15.7
2025-07-25,Pasar Margahayu,0.4,22.8,28.5,17.2
2025-07-26,Pasar Margahayu,0.0,22.9,29.1,16.6
2025-07-27,Pasar Margahayu,0.8,22.9,29.1,17.5
2025-07-28,Pasar Margahayu,2.8,23.2,29.7,19.4
2025-07-29,Pasar Margahayu,0.0,23.5,27.9,20.2
2025-07-30,Pasar Margahayu,0.8,23.7,29.8,19.8
