pasar,komoditas,tanggal_anchor,harga_terakhir,tanggal_target_h1,pred_model_h1,pred_baseline_h1,mae_model_hist_h1,mae_baseline_hist_h1,model_lebih_buruk_pct_h1,tanggal_target_h3,pred_model_h3,pred_baseline_h3,mae_model_hist_h3,mae_baseline_hist_h3,model_lebih_buruk_pct_h3,tanggal_target_h7,pred_model_h7,pred_baseline_h7,mae_model_hist_h7,mae_baseline_hist_h7,model_lebih_buruk_pct_h7
Pasar Baru Majalaya,BAWANG PUTIH BIASA,2026-09-10,32000.0,2026-09-11,32078,32000,619,484,28.0,2026-09-13,32249,32000,1251,979,27.7,2026-09-17,32169,32000,2000,1632,22.6
Pasar Cileunyi,BAWANG PUTIH BIASA,2026-09-10,34000.0,2026-09-11,34072,34000,619,484,28.0,2026-09-13,34120,34000,1251,979,27.7,2026-09-17,33850,34000,2000,1632,22.6
Pasar Ciwidey,BAWANG PUTIH BIASA,2026-09-10,32000.0,2026-09-11,32086,32000,619,484,28.0,2026-09-13,32699,32000,1251,979,27.7,2026-09-17,32114,32000,2000,1632,22.6
Pasar Margahayu,BAWANG PUTIH BIASA,2026-09-10,32000.0,2026-09-11,32090,32000,619,484,28.0,2026-09-13,32268,32000,1251,979,27.7,2026-09-17,32181,32000,2000,1632,22.6
Pasar Sehat Cicalengka,BAWANG PUTIH BIASA,2026-09-10,35000.0,2026-09-11,35042,35000,619,484,28.0,2026-09-13,35051,35000,1251,979,27.7,2026-09-17,34925,35000,2000,1632,22.6
Pasar Sehat Soreang,BAWANG PUTIH BIASA,2026-09-10,35000.0,2026-09-11,35067,35000,619,484,28.0,2026-09-13,35058,35000,1251,979,27.7,2026-09-17,35032,35000,2000,1632,22.6
Pasar Stasiun Majalaya,BAWANG PUTIH BIASA,2026-09-10,36000.0,2026-09-11,36055,36000,619,484,28.0,2026-09-13,36072,36000,1251,979,27.7,2026-09-17,36029,36000,2000,1632,22.6
Pasar Baleendah,BAWANG SUMENEP,2026-09-10,40000.0,2026-09-11,39962,40000,619,484,28.0,2026-09-13,40811,40000,1251,979,27.7,2026-09-17,41859,40000,2000,1632,22.6
Pasar Banjaran,BAWANG SUMENEP,2026-09-09,36000.0,2026-09-10,36043,36000,619,484,28.0,2026-09-12,36791,36000,1251,979,27.7,2026-09-16,36947,36000,2000,1632,22.6
Pasar Baru Majalaya,BAWANG SUMENEP,2026-09-10,38000.0,2026-09-11,38029,38000,619,484,28.0,2026-09-13,38808,38000,1251,979,27.7,2026-09-17,38553,38000,2000,1632,22.6
Pasar Cileunyi,BAWANG SUMENEP,2026-09-10,35000.0,2026-09-11,34408,35000,619,484,28.0,2026-09-13,37349,35000,1251,979,27.7,2026-09-17,34764,35000,2000,1632,22.6
Pasar Ciwidey,BAWANG SUMENEP,2026-09-10,50000.0,2026-09-11,50152,50000,619,484,28.0,2026-09-13,53087,50000,1251,979,27.7,2026-09-17,52015,50000,2000,1632,22.6
Pasar Margahayu,BAWANG SUMENEP,2026-09-10,40000.0,2026-09-11,40306,40000,619,484,28.0,2026-09-13,42195,40000,1251,979,27.7,2026-09-17,41534,40000,2000,1632,22.6
