pasar,komoditas,tanggal_anchor,harga_terakhir,tanggal_target_h1,pred_model_h1,pred_baseline_h1,mae_model_hist_h1,mae_baseline_hist_h1,model_lebih_buruk_pct_h1,tanggal_target_h3,pred_model_h3,pred_baseline_h3,mae_model_hist_h3,mae_baseline_hist_h3,model_lebih_buruk_pct_h3,tanggal_target_h7,pred_model_h7,pred_baseline_h7,mae_model_hist_h7,mae_baseline_hist_h7,model_lebih_buruk_pct_h7
Pasar Margahayu,CABE RAWIT HIJAU,2026-09-10,60000.0,2026-09-11,60487,60000,619,484,28.0,2026-09-13,58794,60000,1251,979,27.7,2026-09-17,58235,60000,2000,1632,22.6
Pasar Sehat Cicalengka,CABE RAWIT HIJAU,2026-09-10,24000.0,2026-09-11,23668,24000,619,484,28.0,2026-09-13,22363,24000,1251,979,27.7,2026-09-17,22052,24000,2000,1632,22.6
Pasar Sehat Soreang,CABE RAWIT HIJAU,2026-09-10,50000.0,2026-09-11,50031,50000,619,484,28.0,2026-09-13,47980,50000,1251,979,27.7,2026-09-17,47980,50000,2000,1632,22.6
Pasar Stasiun Majalaya,CABE RAWIT HIJAU,2026-09-10,60000.0,2026-09-11,60601,60000,619,484,28.0,2026-09-13,59980,60000,1251,979,27.7,2026-09-17,59368,60000,2000,1632,22.6
Pasar Baleendah,CABE RAWIT MERAH,2026-09-10,75000.0,2026-09-11,74401,75000,619,484,28.0,2026-09-13,73412,75000,1251,979,27.7,2026-09-17,71953,75000,2000,1632,22.6
Pasar Banjaran,CABE RAWIT MERAH,2026-09-09,75000.0,2026-09-10,75192,75000,619,484,28.0,2026-09-12,76170,75000,1251,979,27.7,2026-09-16,71959,75000,2000,1632,22.6
Pasar Baru Majalaya,CABE RAWIT MERAH,2026-09-10,65000.0,2026-09-11,65057,65000,619,484,28.0,2026-09-13,66837,65000,1251,979,27.7,2026-09-17,73487,65000,2000,1632,22.6
Pasar Cileunyi,CABE RAWIT MERAH,2026-09-10,80000.0,2026-09-11,80569,80000,619,484,28.0,2026-09-13,84181,80000,1251,979,27.7,2026-09-17,87939,80000,2000,1632,22.6
Pasar Ciwidey,CABE RAWIT MERAH,2026-09-10,75000.0,2026-09-11,74968,75000,619,484,28.0,2026-09-13,76225,75000,1251,979,27.7,2026-09-17,74111,75000,2000,1632,22.6
Pasar Margahayu,CABE RAWIT MERAH,2026-09-10,80000.0,2026-09-11,78605,80000,619,484,28.0,2026-09-13,79810,80000,1251,979,27.7,2026-09-17,85860,80000,2000,1632,22.6
Pasar Sehat Cicalengka,CABE RAWIT MERAH,2026-09-10,75000.0,2026-09-11,77028,75000,619,484,28.0,2026-09-13,79586,75000,1251,979,27.7,2026-09-17,84178,75000,2000,1632,22.6
